station_name,province,year,month,date,mean_max_temp,mean_min_temp,mean_temp,extr_max_temp,extr_min_temp,total_precip
Toronto,Ontario,1840,1,1840-01-01,NA,NA,NA,NA,NA,NA
Toronto,Ontario,1840,2,1840-02-01,NA,NA,NA,NA,NA,NA
Toronto,Ontario,1840,3,1840-03-01,5.2,-2.9,1.2,NA,NA,NA
Toronto,Ontario,1840,4,1840-04-01,11.1,2.3,6.7,NA,NA,NA
Toronto,Ontario,1840,5,1840-05-01,17.2,7.6,12.4,24.4,-0.6,105.7
Toronto,Ontario,1840,6,1840-06-01,20.7,10.8,15.8,26.7,2.8,123.4
Toronto,Ontario,1840,7,1840-07-01,24.4,14.5,19.5,27.8,8.3,134.4
Toronto,Ontario,1840,8,1840-08-01,23.8,14.1,19,27.8,8.9,73.9
Toronto,Ontario,1840,9,1840-09-01,17.9,7.2,12.6,NA,NA,NA
Toronto,Ontario,1840,10,1840-10-01,12.6,2.2,7.4,22.8,-5,48
Toronto,Ontario,1840,11,1840-11-01,5.6,-1.5,2.1,13.9,-9.4,NA
Toronto,Ontario,1840,12,1840-12-01,-1,-8.8,-4.9,5.6,-22.8,NA
Toronto,Ontario,1841,1,1841-01-01,-0.6,-8.3,-4.5,5.6,-21.1,NA
Toronto,Ontario,1841,2,1841-02-01,-1.2,-9.7,-5.5,6.7,-18.3,NA
Toronto,Ontario,1841,3,1841-03-01,2.2,-6.7,-2.3,12.8,-16.7,NA
Toronto,Ontario,1841,4,1841-04-01,8.8,-0.2,4.3,18.3,-6.7,NA
Toronto,Ontario,1841,5,1841-05-01,16.6,5.3,11,25.6,-2.8,59.4
Toronto,Ontario,1841,6,1841-06-01,25.3,13.4,19.4,33.9,7.2,39.1
Toronto,Ontario,1841,7,1841-07-01,25.8,12.6,19.2,31.7,4.4,206.8
Toronto,Ontario,1841,8,1841-08-01,24.2,13.1,18.7,29.4,7.8,156.7
Toronto,Ontario,1841,9,1841-09-01,20.5,11.7,16.1,26.7,1.1,84.6
Toronto,Ontario,1841,10,1841-10-01,10.1,1.3,5.7,15.6,-6.1,NA
Toronto,Ontario,1841,11,1841-11-01,4.7,-2.2,1.3,17.8,-12.8,NA
Toronto,Ontario,1841,12,1841-12-01,1.1,-5.1,-2,7.8,-16.1,NA
Toronto,Ontario,1842,1,1842-01-01,1.9,-7.6,-2.9,9.4,-16.7,NA
Toronto,Ontario,1842,2,1842-02-01,1.8,-6.1,-2.2,10,-16.1,NA
Toronto,Ontario,1842,3,1842-03-01,7.1,-1.7,2.7,21.1,-9.4,NA
Toronto,Ontario,1842,4,1842-04-01,11.7,2.2,7,32.2,-2.2,101.3
Toronto,Ontario,1842,5,1842-05-01,16.1,4.3,10.2,23.9,-2.8,26.2
Toronto,Ontario,1842,6,1842-06-01,20.4,8.6,14.5,26.7,-2.2,145.8
Toronto,Ontario,1842,7,1842-07-01,25.4,11.8,18.6,32.8,6.1,77.5
Toronto,Ontario,1842,8,1842-08-01,25,14,19.5,27.8,6.7,63.5
Toronto,Ontario,1842,9,1842-09-01,18.8,8.7,13.8,28.9,-2.2,159
Toronto,Ontario,1842,10,1842-10-01,12.6,2.9,7.8,20.6,-2.2,131.3
Toronto,Ontario,1842,11,1842-11-01,4.7,-2.7,1,13.9,-13.3,NA
Toronto,Ontario,1842,12,1842-12-01,0,-7.6,-3.8,5,-16.1,NA
Toronto,Ontario,1843,1,1843-01-01,1.4,-5.7,-2.2,12.8,-16.7,145.3
Toronto,Ontario,1843,2,1843-02-01,-4.4,-12.7,-8.6,3.9,-22.8,48.8
Toronto,Ontario,1843,3,1843-03-01,-0.9,-10.6,-5.8,4.4,-19.4,81.3
Toronto,Ontario,1843,4,1843-04-01,9.6,0.6,5.1,22.2,-9.4,81.3
Toronto,Ontario,1843,5,1843-05-01,16.4,5.1,10.8,26.7,-1.7,39.9
Toronto,Ontario,1843,6,1843-06-01,20.3,9.2,14.8,28.3,-2.2,117.1
Toronto,Ontario,1843,7,1843-07-01,25.5,12.5,19,30.6,3.9,117.1
Toronto,Ontario,1843,8,1843-08-01,25.4,13.3,19.4,28.3,6.7,123.4
Toronto,Ontario,1843,9,1843-09-01,21.3,11.4,16.4,31.7,0,248.2
Toronto,Ontario,1843,10,1843-10-01,10.3,2.4,6.4,20,-4.4,103.4
Toronto,Ontario,1843,11,1843-11-01,3.8,-2.5,0.7,11.7,-10,119.9
Toronto,Ontario,1843,12,1843-12-01,2,-3.4,-0.7,9.4,-16.1,47
Toronto,Ontario,1844,1,1844-01-01,-2.6,-10.3,-6.5,7.2,-21.7,139.7
Toronto,Ontario,1844,2,1844-02-01,0.7,-7.9,-3.6,8.9,-17.2,36.6
Toronto,Ontario,1844,3,1844-03-01,4.2,-3.8,0.2,10.6,-12.2,98.8
Toronto,Ontario,1844,4,1844-04-01,15,3.5,9.3,23.9,-9.4,38.9
Toronto,Ontario,1844,5,1844-05-01,19,7.3,13.2,25.6,-1.7,144.8
Toronto,Ontario,1844,6,1844-06-01,21.8,10.3,16.1,28.3,0.6,89.9
Toronto,Ontario,1844,7,1844-07-01,25.8,13.1,19.5,30.6,4.4,71.9
Toronto,Ontario,1844,8,1844-08-01,23.8,12.9,18.4,30.6,6.7,NA
Toronto,Ontario,1844,9,1844-09-01,21.1,9.6,15.4,27.8,-2.2,5.8
Toronto,Ontario,1844,10,1844-10-01,11.2,1.9,6.6,22.2,-8.9,NA
Toronto,Ontario,1844,11,1844-11-01,5.7,-2,1.9,13.3,-11.1,NA
Toronto,Ontario,1844,12,1844-12-01,1.8,-6,-2.1,10.6,-16.7,NA
Toronto,Ontario,1845,1,1845-01-01,0.7,-7.1,-3.2,7.8,-17.8,NA
Toronto,Ontario,1845,2,1845-02-01,0.4,-7.4,-3.5,9.4,-20,NA
Toronto,Ontario,1845,3,1845-03-01,6.1,-2.9,1.6,17.2,-13.9,NA
Toronto,Ontario,1845,4,1845-04-01,10.7,0.8,5.8,19.4,-8.9,87.9
Toronto,Ontario,1845,5,1845-05-01,16.4,4.1,10.3,25.6,-2.2,50.8
Toronto,Ontario,1845,6,1845-06-01,21.8,10,15.9,29.4,3.9,110.7
Toronto,Ontario,1845,7,1845-07-01,25.4,13,19.2,35,7.8,52.8
Toronto,Ontario,1845,8,1845-08-01,25.3,13.4,19.4,29.4,5.6,43.9
Toronto,Ontario,1845,9,1845-09-01,18.4,7.1,12.8,26.7,1.1,156.7
Toronto,Ontario,1845,10,1845-10-01,12.6,2.4,7.5,17.8,-6.7,45
Toronto,Ontario,1845,11,1845-11-01,6.1,-0.9,2.6,15.6,-13.3,41.1
Toronto,Ontario,1845,12,1845-12-01,-2.4,-10.1,-6.3,4.4,-18.9,11.9
Toronto,Ontario,1846,1,1846-01-01,0.1,-7.6,-3.8,6.7,-18.3,74.9
Toronto,Ontario,1846,2,1846-02-01,-2.2,-12.7,-7.5,5.6,-27.2,117.1
Toronto,Ontario,1846,3,1846-03-01,3.9,-4.4,-0.3,10,-13.3,55.9
Toronto,Ontario,1846,4,1846-04-01,11,1.9,6.5,27.8,-4.4,36.6
Toronto,Ontario,1846,5,1846-05-01,18.2,8.1,13.2,26.7,0.6,111.5
Toronto,Ontario,1846,6,1846-06-01,22.4,12.2,17.3,28.9,3.9,49.3
Toronto,Ontario,1846,7,1846-07-01,26.2,14.6,20.4,35,7.2,73.7
Toronto,Ontario,1846,8,1846-08-01,24.8,14.9,19.9,30,10,45.5
