depth_cm,age_bp,Achnanthes marginulata,Actinella punctata,Anomoeoneis serians,Anomoeoneis serians var. brachysira,Cymbella gaeumannii,Cymbella hebridica,Eunotia arcus,Eunotia bactriana,Eunotia bigibba,Eunotia curvata,Eunotia diodon,Eunotia elegans,Eunotia exigua,Eunotia fallax,Eunotia incisa,Eunotia naegelii,Eunotia pectinalis,Eunotia pectinalis var. minor,Eunotia spp.,Eunotia sudetica,Eunotia tenella,Eunotia triodon,Eunotia vanheurckii var. intermedia,Fragilaria virescens var. birostrata,Frustulia rhomboides,Frustulia rhomboides var. saxonica,Gomphonema parvulum,Navicula mediocris,Navicula notha,Navicula subtilissima,Navicula tenuicephala,Neidium affine,Nitzschia linearis,Peronia fibula,Pinnularia mesolepta,Pinnularia rupestris,Pinnularia sp.,Pinnularia sublinearis,Semiorbis hemicyclus,Stauroneis anceps,Stenopterobia intermedia,Surirella delicatissima,Tabellaria binalis,Tabellaria flocculosa,Cymbella lunata,Eunotia bidentula,Eunotia gibbosa,Eunotia hexaglyphis,Eunotia monodon,Eunotia praerupta,Eunotia serra,Eunotia suecica,Frustulia rhomboides var. capitata,Frustulia rhomboides var. crassinervia,Melosira distans,Melosira sp.,Navicula sp.,Neidium iridis var. amphigomphus,Pinnularia biceps,Pinnularia caudata,Pinnularia mesogongyla,Surirella linearis,Surirella linearis var. constricta,Tabellaria flocculosa var. linearis,Eunotia vanheurckii,Gomphonema angustatum,Navicula monmouthiana-stodderi,Neidium affine var. longiceps,Neidium bisulcatum,Neidium herrmannii,Nitzschia dissipata,Pinnularia abaujensis,Pinnularia microstauron,Eunotia major,Eunotia perpusilla,Stauroneis phoenicenteron,Cymbella sp.,Fragilaria construens var. venter,Neidium iridis,Neidium sp.,Stauroneis sp.,Cyclotella glomerata,Eunotia soleirolii,Navicula angusta,Eunotia assymetrica,Pinnularia abaujensis var. rostrata,Surirella sp.,Achnanthes minutissima,Melosira distans var. africana (small) SER ADIR,Surirella biseriata,Diploneis oculata,Eunotia microcephala,Melosira distans var. lirata,Stauroneis livingstonii,Cymbella laevis,Eunotia flexuosa,Achnanthes linearis fo. curta,Fragilaria constricta,Nitzschia sp.,Pinnularia divergentissima,Achnanthes sp.,Fragilaria virescens,Gomphonema gracile,Nitzschia palea,Caloneis ventricosa var. minuta,Cymbella microcephala,Fragilaria constricta fo. stricta,Fragilaria sp.,Gomphonema sp.,Melosira distans var. lirata fo. seriata,Anomoeoneis vitrea,Cymbella minuta,Fragilaria pinnata,Melosira italica var. subarctica,Navicula minima,Navicula radiosa,Navicula vanheurckii,Cocconeis sp.,Cyclotella stelligera,Cymbella cistula,Cymbella sinuata,Diploneis elliptica,Diploneis marginestriata,Fragilaria brevistriata,Fragilaria construens,Fragilaria construens var. binodis,Fragilaria construens var. pumila,Navicula gysingensis,Navicula mutica,Navicula pseudoscutiformis,Nitzschia acuta,Stauroneis phoenicenteron fo. gracilis,Synedra sp.
0,-39,8,3,5,3,19,24,2,2,2,8,1,1,10,4,2,16,2,1,12,4,9,6,2,99,2,6,1,2,7,44,1,6,2,1,1,1,2,1,3,1,5,49,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,12,11,2,1,9,33,42,0,1,0,12,0,15,3,5,1,5,1,0,15,0,11,0,2,90,5,9,0,0,15,73,1,2,0,0,0,0,10,0,5,1,10,37,0,7,3,1,1,1,1,4,2,6,1,6,1,1,4,3,2,1,4,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,445,7,4,4,16,26,53,1,1,0,13,0,5,2,5,5,13,1,0,22,1,6,0,1,21,8,22,0,2,9,50,0,5,0,0,0,0,4,0,3,5,12,16,1,12,0,0,0,0,0,2,0,1,0,2,3,0,1,3,1,1,0,3,0,0,2,1,2,3,7,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,795,12,9,2,13,9,42,0,5,0,10,0,0,1,1,5,6,6,0,27,0,7,0,4,0,6,22,0,7,9,33,0,9,0,3,0,0,6,0,13,9,13,23,2,20,0,0,0,0,5,1,0,0,0,0,2,0,0,2,0,1,0,2,0,9,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1373,6,7,3,7,9,90,0,3,0,5,0,3,6,8,9,8,1,0,13,4,15,0,2,0,10,25,0,8,7,31,1,24,0,0,0,0,0,0,4,0,13,22,5,13,0,0,0,0,0,0,1,3,0,0,4,0,0,0,92,0,0,4,0,2,1,0,0,0,1,0,0,2,0,0,0,0,5,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2314,13,0,5,2,27,91,1,2,0,5,0,1,2,5,0,4,0,0,14,1,10,0,0,0,4,5,0,12,2,30,4,7,0,4,2,0,8,0,8,1,2,28,2,22,0,0,0,0,0,2,0,1,0,3,13,1,2,0,1,5,0,5,0,0,1,0,2,1,3,2,0,9,2,2,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,3469,21,1,2,3,14,34,0,2,2,16,0,1,2,2,15,3,3,0,24,2,4,0,3,0,4,11,0,2,10,21,1,5,0,1,2,0,6,0,22,0,17,11,10,18,0,0,0,0,0,0,4,0,0,9,18,0,0,3,0,1,0,0,0,0,3,0,2,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,4243,25,1,0,10,16,36,1,0,1,8,0,0,1,10,3,0,0,1,14,1,6,0,1,0,4,5,0,11,17,19,9,11,0,0,0,0,12,0,11,1,11,24,13,19,0,1,0,0,0,3,1,0,0,0,15,2,0,0,23,0,0,4,0,1,0,0,0,0,0,0,0,2,6,0,0,0,2,0,4,0,0,0,0,0,1,0,1,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,5218,20,2,4,11,10,12,0,1,0,9,0,1,2,0,0,3,1,0,8,2,7,0,6,0,3,15,2,10,1,22,7,0,0,0,2,0,4,0,8,0,9,5,8,11,0,0,0,0,0,0,0,0,0,0,50,0,0,1,24,0,0,4,0,1,0,0,0,5,0,2,0,1,28,1,2,0,1,0,0,1,0,0,0,0,1,0,0,3,3,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,6196,4,1,2,12,5,8,1,2,0,2,0,0,4,4,0,7,0,3,15,1,7,0,0,0,13,0,8,5,2,18,2,2,0,0,0,0,6,0,4,0,1,2,3,6,0,0,0,0,0,0,1,0,0,0,85,0,0,2,59,0,10,0,0,0,0,0,2,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,7274,12,0,0,28,13,9,0,1,0,2,0,0,3,3,0,5,3,0,14,1,2,0,0,0,6,4,0,1,11,11,22,15,0,0,0,0,7,0,0,6,7,11,1,5,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,7975,15,6,4,41,22,9,0,0,1,4,0,0,0,2,0,3,4,2,12,2,1,0,1,0,10,1,0,0,15,13,17,9,0,0,4,0,9,0,6,2,10,11,0,18,1,2,0,0,0,0,0,0,0,2,47,0,2,0,41,0,0,0,0,4,0,0,0,0,0,0,0,4,9,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
