station_name	province	year	month	date	mean_max_temp	mean_min_temp	mean_temp	extr_max_temp	extr_min_temp	total_precip
Kentville Cda Cs	Nova Scotia	2000	1	2000-01-01	0.5	-8.9	-4.2	17.3	-21.9	182.2
Kentville Cda Cs	Nova Scotia	2000	2	2000-02-01	2.2	-7.1	-2.6	16.9	-18.2	10.7
Kentville Cda Cs	Nova Scotia	2000	3	2000-03-01	5.8	-2.6	1.6	18.2	-10.3	116.4
Kentville Cda Cs	Nova Scotia	2000	4	2000-04-01	10.4	2.3	6.4	19.8	-4.9	89.1
Kentville Cda Cs	Nova Scotia	2000	5	2000-05-01	15.1	4.9	10	21.1	-0.4	58
Kentville Cda Cs	Nova Scotia	2000	6	2000-06-01	22.4	10.3	16.4	32.6	0.7	46
Kentville Cda Cs	Nova Scotia	2000	7	2000-07-01	24.3	13.2	18.8	28.2	8.5	72.4
Kentville Cda Cs	Nova Scotia	2000	8	2000-08-01	24.4	13.9	19.2	28.8	7.3	36.6
Kentville Cda Cs	Nova Scotia	2000	9	2000-09-01	19.7	9.4	14.6	29.9	-0.8	58.4
Kentville Cda Cs	Nova Scotia	2000	10	2000-10-01	14.8	4.9	9.9	21.8	-2.3	197.6
Kentville Cda Cs	Nova Scotia	2000	11	2000-11-01	6.9	2.3	4.6	13.4	-7.5	98.6
Kentville Cda Cs	Nova Scotia	2000	12	2000-12-01	0.4	-6.7	-3.2	15.4	-15.8	100.9
Kentville Cda Cs	Nova Scotia	2001	1	2001-01-01	-1.5	-10.3	-5.9	4.8	-20.1	74.8
Kentville Cda Cs	Nova Scotia	2001	2	2001-02-01	-1.2	-9.4	-5.3	9.6	-17.7	53.2
Kentville Cda Cs	Nova Scotia	2001	3	2001-03-01	2.9	-5	-1	10.8	-20.3	64.9
Kentville Cda Cs	Nova Scotia	2001	4	2001-04-01	8	-0.4	3.8	24.7	-7.1	77.2
Kentville Cda Cs	Nova Scotia	2001	5	2001-05-01	18.2	6.3	12.3	26.8	-2.3	139.5
Kentville Cda Cs	Nova Scotia	2001	6	2001-06-01	24	12.4	18.2	31.2	4.3	80.3
Kentville Cda Cs	Nova Scotia	2001	7	2001-07-01	25	13	19.1	33.4	8.4	26
Kentville Cda Cs	Nova Scotia	2001	8	2001-08-01	27.5	15	21.3	36.4	5.6	12.3
Kentville Cda Cs	Nova Scotia	2001	9	2001-09-01	22.3	10.5	16.4	31.3	3.7	78
Kentville Cda Cs	Nova Scotia	2001	10	2001-10-01	16.7	5.5	11.1	26.2	-2.6	NA
Kentville Cda Cs	Nova Scotia	2001	11	2001-11-01	9.3	1.3	5.3	17.9	-7.3	100.7
Kentville Cda Cs	Nova Scotia	2001	12	2001-12-01	3.7	-2.2	0.8	16.7	-9.7	69.1
Kentville Cda Cs	Nova Scotia	2002	1	2002-01-01	-0.1	-5.9	-3	6.3	-13.9	123
Kentville Cda Cs	Nova Scotia	2002	2	2002-02-01	1	-7.6	-3.3	11.7	-20.6	84.4
Kentville Cda Cs	Nova Scotia	2002	3	2002-03-01	4.2	-4.3	-0.1	13.3	-11	104.8
Kentville Cda Cs	Nova Scotia	2002	4	2002-04-01	9.1	1.4	5.3	16.6	-4.2	104.7
Kentville Cda Cs	Nova Scotia	2002	5	2002-05-01	17.1	5.2	11.2	26.9	-1	72.7
Kentville Cda Cs	Nova Scotia	2002	6	2002-06-01	20.4	9	14.7	29.1	1.2	45.4
Kentville Cda Cs	Nova Scotia	2002	7	2002-07-01	25	13.7	19.3	33.5	7.1	58.1
Kentville Cda Cs	Nova Scotia	2002	8	2002-08-01	26	14.6	20.2	31.6	9.6	40.6
