"Station Name","GREENWOOD A"
"Province","NOVA SCOTIA"
"Latitude","44.98"
"Longitude","-64.92"
"Elevation","28.00"
"Climate Identifier","8202000"
"WMO Identifier","71397"
"TC Identifier","YZX"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1942-01","1942","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-02","1942","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-03","1942","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-04","1942","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-05","1942","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-06","1942","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-07","1942","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-08","1942","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-09","1942","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-10","1942","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-11","1942","11","6.5","","-2.4","","2.1","","21.1","","-9.4","","84.3","","20.6","","104.9","","","",,"",,""
"1942-12","1942","12","-1.7","","-9.2","","-5.5","","12.8","","-21.1","","44.5","","57.9","","102.6","","","",,"",,""
"1943-01","1943","01","-5.1","","-13.6","","-9.4","","3.3","","-26.7","","7.1","","28.2","","35.3","","","",,"",,""
"1943-02","1943","02","1.8","","-9.1","","-3.7","","16.7","","-27.8","","59.2","","54.9","","114.0","","","",,"",,""
"1943-03","1943","03","3.4","","-5.8","","-1.2","","13.9","S","-18.9","","50.0","","52.8","","102.9","","","",,"",,""
"1943-04","1943","04","7.8","","-1.6","","3.1","","21.7","","-10.0","","53.3","","8.4","","61.7","","","",,"",,""
"1943-05","1943","05","15.8","","4.9","","10.4","","26.7","","-1.7","","92.7","","0.0","T","92.7","","","",,"",,""
"1943-06","1943","06","19.8","","8.8","","14.3","","30.0","","2.2","S","115.6","","0.0","","115.6","","","",,"",,""
"1943-07","1943","07","25.4","","13.8","","19.6","","32.8","","5.6","","137.9","","0.0","","137.9","","","",,"",,""
"1943-08","1943","08","23.1","","11.7","","17.4","","31.1","","5.6","","176.0","","0.0","","176.0","","","",,"",,""
"1943-09","1943","09","21.0","","8.1","","14.6","","28.9","S","0.0","","50.8","","0.0","","50.8","","","",,"",,""
"1943-10","1943","10","14.8","","5.1","","10.0","","23.9","","-5.6","","87.6","","0.0","T","87.6","","","",,"",,""
"1943-11","1943","11","7.3","","-0.3","","3.5","","19.4","","-8.3","","146.6","","20.8","","167.4","","","",,"",,""
"1943-12","1943","12","-1.3","","-8.3","","-4.8","","5.0","","-18.3","","15.5","","46.5","","62.0","","","",,"",,""
"1944-01","1944","01","-1.0","","-9.8","","-5.4","","7.2","","-21.7","","8.6","","38.9","","47.5","","","",,"",,""
"1944-02","1944","02","-1.8","","-10.8","","-6.3","","8.3","","-21.7","","27.2","","87.4","","114.6","","","",,"",,""
"1944-03","1944","03","2.2","","-6.9","","-2.4","","13.3","","-17.8","","43.2","","22.4","","65.5","","","",,"",,""
"1944-04","1944","04","8.9","","-1.9","","3.5","","21.7","","-9.4","","56.6","","9.9","","66.5","","","",,"",,""
"1944-05","1944","05","20.5","","4.4","","12.5","","29.4","","-4.4","","7.1","","0.0","","7.1","","","",,"",,""
"1944-06","1944","06","21.7","","9.8","","15.8","","35.0","","0.0","","67.8","","0.0","","67.8","","","",,"",,""
"1944-07","1944","07","26.6","","12.2","","19.4","","33.9","S","3.3","","43.9","","0.0","","43.9","","","",,"",,""
"1944-08","1944","08","27.7","","12.8","","20.3","","37.2","","2.8","","53.1","","0.0","","53.1","","","",,"",,""
"1944-09","1944","09","21.1","","8.7","","14.9","","26.1","S","-2.8","","99.1","","0.0","","99.1","","","",,"",,""
"1944-10","1944","10","13.3","","4.2","","8.8","","21.7","","-7.2","","90.7","","0.0","T","90.7","","","",,"",,""
"1944-11","1944","11","8.2","","0.5","","4.4","","18.3","S","-7.8","","115.8","","4.1","","119.9","","","",,"",,""
"1944-12","1944","12","2.0","","-6.6","","-2.3","","9.4","","-15.0","S","43.9","","47.2","","91.2","","","",,"",,""
"1945-01","1945","01","-0.4","","-8.6","","-4.5","","15.0","","-20.0","","50.0","","101.1","","151.1","","","",,"",,""
"1945-02","1945","02","-0.7","","-10.3","","-5.5","","8.9","","-21.7","","36.3","","81.8","","118.1","","","",,"",,""
"1945-03","1945","03","6.1","","-3.9","","1.1","","21.7","","-15.6","","31.0","","11.2","","42.2","","","",,"",,""
"1945-04","1945","04","13.0","","1.6","","7.3","","23.9","","-7.2","","50.5","","0.0","T","50.5","","","",,"",,""
"1945-05","1945","05","15.2","","3.4","","9.3","","23.3","","-7.2","","175.5","","0.0","T","175.5","","","",,"",,""
"1945-06","1945","06","20.3","","8.8","","14.6","","31.1","","-1.7","","161.0","","0.0","","161.0","","","",,"",,""
"1945-07","1945","07","26.3","","12.1","","19.2","","30.6","","4.4","","56.9","","0.0","","56.9","","","",,"",,""
"1945-08","1945","08","25.9","","11.2","","18.6","","32.8","","2.8","","65.8","","0.0","","65.8","","","",,"",,""
"1945-09","1945","09","21.2","","8.4","","14.8","","32.2","","-3.3","","51.1","","0.0","T","51.1","","","",,"",,""
"1945-10","1945","10","13.3","","2.4","","7.9","","22.8","","-6.7","","160.0","","0.0","T","160.0","","","",,"",,""
"1945-11","1945","11","7.7","","-1.4","","3.2","","20.0","","-9.4","S","120.9","","39.4","","160.3","","","",,"",,""
"1945-12","1945","12","-0.6","","-8.2","","-4.4","","10.6","","-16.7","","50.3","","59.4","","109.7","","","",,"",,""
"1946-01","1946","01","-0.9","","-10.3","","-5.6","","12.2","","-22.2","","31.5","","40.1","","71.6","","","",,"",,""
"1946-02","1946","02","-1.5","","-11.4","","-6.5","","12.2","","-25.6","","82.3","","74.9","","157.2","","","",,"",,""
"1946-03","1946","03","8.6","","-3.4","","2.6","","19.4","","-11.1","","34.8","","0.3","","35.1","","","",,"",,""
"1946-04","1946","04","7.2","","-0.9","","3.2","","18.3","S","-11.1","","74.7","","47.0","","121.7","","","",,"",,""
"1946-05","1946","05","17.4","","5.1","","11.3","","27.2","S","-2.2","S","80.8","","0.0","","80.8","","","",,"",,""
"1946-06","1946","06","22.7","","8.8","","15.8","","33.3","","2.2","","22.9","","0.0","","22.9","","","",,"",,""
"1946-07","1946","07","25.4","","10.7","","18.1","","31.1","","3.9","","55.4","","0.0","","55.4","","","",,"",,""
"1946-08","1946","08","23.9","","11.7","","17.8","","31.1","","3.3","","72.1","","0.0","","72.1","","","",,"",,""
"1946-09","1946","09","22.2","","8.8","","15.5","","27.8","S","-1.1","","65.0","","0.0","","65.0","","","",,"",,""
"1946-10","1946","10","16.6","","2.7","","9.7","","24.4","S","-6.1","","67.8","","0.0","","67.8","","","",,"",,""
"1946-11","1946","11","7.4","","-1.2","","3.1","","17.2","","-11.7","","56.4","","0.8","","57.2","","","",,"",,""
"1946-12","1946","12","2.3","","-7.8","","-2.8","","13.9","","-19.4","","80.8","","69.9","","150.6","","","",,"",,""
"1947-01","1947","01","0.2","","-10.1","","-5.0","","15.0","","-22.8","","76.7","","27.9","","104.6","","","M",,"",,""
"1947-02","1947","02","0.6","","-6.4","","-2.9","","11.1","","-15.0","","66.5","","32.8","","99.3","","","M",,"",,""
"1947-03","1947","03","4.3","","-3.8","","0.3","","12.2","","-12.8","","40.9","","10.9","","51.8","","","M",,"",,""
"1947-04","1947","04","9.0","","-1.7","","3.7","","21.1","","-7.8","","98.3","","8.6","","106.9","","","M",,"",,""
"1947-05","1947","05","18.2","","5.7","","12.0","","27.2","S","-5.6","","96.3","","0.0","","96.3","","","M",,"",,""
"1947-06","1947","06","21.6","","7.8","","14.7","","32.2","","-0.6","","88.9","","0.0","","88.9","","","M",,"",,""
"1947-07","1947","07","28.4","","16.3","","22.4","","32.2","","6.7","","70.4","","0.0","","70.4","","","M",,"",,""
"1947-08","1947","08","26.1","","11.6","","18.9","","33.9","S","0.6","","27.2","","0.0","","27.2","","","M",,"",,""
"1947-09","1947","09","21.2","","7.9","","14.6","","30.6","","-4.4","","67.8","","0.0","","67.8","","","M",,"",,""
"1947-10","1947","10","16.8","","4.2","","10.5","","25.6","","-4.4","","16.8","","0.0","","16.8","","","M",,"",,""
"1947-11","1947","11","6.9","","0.2","","3.6","","13.9","","-10.0","","100.6","","6.4","","106.9","","","M",,"",,""
"1947-12","1947","12","-0.1","","-7.3","","-3.7","","12.2","","-26.1","","30.5","","90.9","","121.4","","64","",,"",,""
"1948-01","1948","01","-2.5","","-10.3","","-6.4","","7.2","","-27.8","","75.7","","102.6","","178.3","","48","",,"",,""
"1948-02","1948","02","-2.9","","-14.7","","-8.8","","11.1","","-30.0","","47.5","","11.2","","58.7","","5","",,"",,""
"1948-03","1948","03","2.6","","-9.4","","-3.4","","18.3","","-27.2","","94.7","","45.7","","140.5","","","M",,"",,""
"1948-04","1948","04","8.6","","-1.3","","3.7","","16.1","","-6.7","","88.1","","4.6","","92.7","","","M",,"",,""
"1948-05","1948","05","15.9","","4.9","","10.4","","25.6","S","-4.4","","156.2","","0.0","T","156.2","","","M",,"",,""
"1948-06","1948","06","20.6","","8.7","","14.7","","34.4","","2.8","","96.3","","0.0","","96.3","","","M",,"",,""
"1948-07","1948","07","25.7","","13.1","","19.4","","30.6","","4.4","","71.4","","0.0","","71.4","","","M",,"",,""
"1948-08","1948","08","25.7","","12.0","","18.9","","33.3","","6.1","S","42.2","","0.0","","42.2","","","M",,"",,""
"1948-09","1948","09","20.3","","7.6","","14.0","","30.6","","-2.2","","39.1","","0.0","","39.1","","","M",,"",,""
"1948-10","1948","10","14.2","","2.6","","8.4","","22.2","","-8.9","","54.9","","0.0","T","54.9","","","M",,"",,""
"1948-11","1948","11","9.3","","0.8","","5.1","","20.6","S","-8.3","S","116.1","","1.3","","117.3","","","M",,"",,""
"1948-12","1948","12","2.4","","-5.3","","-1.5","","12.2","","-18.9","","71.9","","31.5","","103.4","","","M",,"",,""
"1949-01","1949","01","1.2","","-7.4","","-3.1","","13.3","","-21.7","","66.5","","34.5","","101.1","","","M",,"",,""
"1949-02","1949","02","0.3","","-8.6","","-4.2","","12.8","","-19.4","","40.4","","49.3","","89.7","","25","",,"",,""
"1949-03","1949","03","3.8","","-4.3","","-0.3","","15.0","S","-18.9","","55.4","","39.1","","94.2","","","M",,"",,""
"1949-04","1949","04","10.9","","1.3","","6.1","","21.1","","-3.9","","71.4","","0.8","","72.1","","","M",,"",,""
"1949-05","1949","05","17.2","","4.6","","10.9","","25.0","S","-1.1","S","56.4","","0.0","","56.4","","","M",,"",,""
"1949-06","1949","06","23.9","","10.6","","17.3","","32.8","","0.6","","50.8","","0.0","","50.8","","","M",,"",,""
"1949-07","1949","07","27.2","","13.7","","20.5","","35.6","","5.0","","44.2","","0.0","","44.2","","","M",,"",,""
"1949-08","1949","08","26.1","","12.6","","19.4","","32.2","S","5.0","S","96.0","","0.0","","96.0","","","M",,"",,""
"1949-09","1949","09","20.0","","8.9","","14.5","","28.9","","-0.6","S","86.6","","0.0","","86.6","","","M",,"",,""
"1949-10","1949","10","16.6","","2.9","","9.8","","27.8","","-6.7","","34.0","","0.0","","34.0","","","M",,"",,""
"1949-11","1949","11","8.0","","-0.8","","3.6","","15.0","","-8.3","","113.3","","0.8","","114.0","","","M",,"",,""
"1949-12","1949","12","4.9","","-4.8","","0.1","","18.3","","-16.1","","77.0","","33.0","","110.0","","","M",,"",,""
"1950-01","1950","01","1.9","","-9.6","","-3.9","","13.3","S","-22.8","","30.0","","60.2","","90.2","","","M",,"",,""
"1950-02","1950","02","-3.3","","-12.4","","-7.9","","7.2","","-25.0","","14.5","","70.9","","85.3","","23","",,"",,""
"1950-03","1950","03","2.5","","-8.1","","-2.8","","18.9","","-19.4","","47.8","","34.8","","82.6","","0","T",,"",,""
"1950-04","1950","04","8.5","","-0.3","","4.1","","18.3","","-11.7","","33.8","","27.9","","61.7","","","M",,"",,""
"1950-05","1950","05","17.7","","4.3","","11.0","","28.3","","-2.2","S","27.4","","0.0","","27.4","","","M",,"",,""
"1950-06","1950","06","21.9","","9.7","","15.8","","32.2","","2.8","","69.1","","0.0","","69.1","","","M",,"",,""
"1950-07","1950","07","25.0","","12.8","","18.9","","30.6","","5.6","","43.9","","0.0","","43.9","","","M",,"",,""
"1950-08","1950","08","24.0","","12.1","","18.1","","30.0","","3.9","","211.6","","0.0","","211.6","","","M",,"",,""
"1950-09","1950","09","17.4","","6.7","","12.1","","26.1","S","-1.7","","48.5","","0.0","","48.5","","","M",,"",,""
"1950-10","1950","10","13.4","","3.2","","8.3","","24.4","","-7.2","","48.3","","11.2","","59.4","","","M",,"",,""
"1950-11","1950","11","11.3","","1.1","","6.2","","22.2","","-7.8","","158.5","","4.8","","163.3","","","M",,"",,""
"1950-12","1950","12","4.8","","-2.5","","1.2","","17.8","","-17.2","","83.3","","53.1","","136.4","","8","",,"",,""
"1951-01","1951","01","1.6","","-6.7","","-2.6","","16.1","","-26.7","","47.8","","60.5","","108.2","","18","",,"",,""
"1951-02","1951","02","2.6","","-7.3","","-2.4","","15.6","","-23.9","","70.9","","41.7","","112.5","","","M",,"",,""
"1951-03","1951","03","4.9","","-3.3","","0.8","","14.4","","-10.0","S","31.2","","9.9","","41.1","","","M",,"",,""
"1951-04","1951","04","10.8","","2.7","","6.8","","18.3","","-3.3","S","77.0","","0.0","T","77.0","","","M",,"",,""
"1951-05","1951","05","17.8","","5.0","","11.4","","27.8","S","-2.8","","85.6","","0.0","T","85.6","","","M",,"",,""
"1951-06","1951","06","21.6","","8.6","","15.1","","29.4","","-0.6","","26.9","","0.0","","26.9","","","M",,"",,""
"1951-07","1951","07","26.6","","13.2","","19.9","","31.7","","5.6","","69.3","","0.0","","69.3","","","M",,"",,""
"1951-08","1951","08","24.6","","14.1","","19.4","","29.4","","5.0","","146.1","","0.0","","146.1","","","M",,"",,""
"1951-09","1951","09","21.2","","9.7","","15.5","","27.8","","1.1","","95.5","","0.0","","95.5","","","M",,"",,""
"1951-10","1951","10","15.4","","3.9","","9.7","","24.4","","-3.9","","37.1","","0.0","T","37.1","","","M",,"",,""
"1951-11","1951","11","8.9","","-0.5","","4.2","","22.2","","-9.4","","115.1","","14.7","","129.8","","","M",,"",,""
"1951-12","1951","12","2.4","","-6.4","","-2.0","","15.6","","-20.0","","55.1","","95.3","","149.6","","3","",,"",,""
"1952-01","1952","01","1.0","","-9.4","","-4.2","","12.2","","-21.7","","80.8","","129.5","","210.3","","23","",,"",,""
"1952-02","1952","02","0.0","","-7.3","","-3.7","","11.1","","-16.1","","34.3","","86.1","","120.4","","58","",,"",,""
"1952-03","1952","03","2.7","","-4.1","","-0.7","","10.0","","-13.3","","17.0","","56.1","","73.2","","","M",,"",,""
"1952-04","1952","04","11.3","","1.1","","6.2","","20.0","","-6.1","","45.7","","0.0","T","45.7","","","M",,"",,""
"1952-05","1952","05","15.2","","4.2","","9.7","","27.2","","-2.8","","69.9","","0.0","","69.9","","","M",,"",,""
"1952-06","1952","06","22.1","","10.6","","16.4","","28.3","","4.4","S","56.6","","0.0","","56.6","","","M",,"",,""
"1952-07","1952","07","28.9","","13.9","","21.4","","34.4","","5.6","S","43.7","","0.0","","43.7","","","M",,"",,""
"1952-08","1952","08","25.4","","13.7","","19.6","","31.7","","2.8","","115.3","","0.0","","115.3","","","M",,"",,""
"1952-09","1952","09","20.9","","7.6","","14.3","","27.8","","-2.2","S","91.9","","0.0","","91.9","","","M",,"",,""
"1952-10","1952","10","13.8","","3.2","","8.5","","23.9","","-3.9","","92.7","","0.0","T","92.7","","","M",,"",,""
"1952-11","1952","11","7.0","","0.4","","3.7","","18.3","","-10.0","","51.6","","11.4","","63.0","","","M",,"",,""
"1952-12","1952","12","1.3","","-4.6","","-1.7","","9.4","","-15.0","","22.6","","26.9","","49.5","","13","",,"",,""
"1953-01","1953","01","2.8","","-6.3","","-1.8","","13.9","","-16.1","","80.0","","23.9","","103.9","","0","T",,"",,""
"1953-02","1953","02","2.1","","-7.1","","-2.5","","13.9","","-16.7","","86.6","","24.6","","111.3","","","M",,"",,""
"1953-03","1953","03","4.6","","-2.8","","0.9","","16.1","","-14.4","","78.0","","2.0","","80.0","","","M",,"",,""
"1953-04","1953","04","11.6","","2.6","","7.1","","17.2","","-2.8","","69.6","","0.0","T","69.6","","","M",,"",,""
"1953-05","1953","05","16.6","","4.9","","10.8","","26.1","","-4.4","","71.4","","0.0","","71.4","","","M",,"",,""
"1953-06","1953","06","22.7","","9.9","","16.3","","30.0","","0.6","","47.5","","0.0","","47.5","","","M",,"",,""
"1953-07","1953","07","25.3","","13.2","","19.3","","30.6","","7.2","S","88.6","","0.0","","88.6","","","M",,"",,""
"1953-08","1953","08","23.6","","11.8","","17.7","","31.1","","4.4","","72.4","","0.0","","72.4","","","M",,"",,""
